decade,year,result,director,movie,director url
Década de 1990,1990,Ganador,Oliver Stone,Nacido el cuatro de julio,https://www.imdb.com/es-es/name/nm0000231/
Década de 1990,1990,Nominee,Woody Allen,Delitos y faltas,https://www.imdb.com/es-es/name/nm0000095/
Década de 1990,1990,Nominee,Kenneth Branagh,Enrique V,https://www.imdb.com/es-es/name/nm0000110/
Década de 1990,1990,Nominee,Jim Sheridan,Mi pie izquierdo,https://www.imdb.com/es-es/name/nm0006487/
Década de 1990,1990,Nominee,Peter Weir,El club de los poetas muertos,https://www.imdb.com/es-es/name/nm0001837/
Década de 1980,1989,Ganador,Barry Levinson,Rain Man,https://www.imdb.com/es-es/name/nm0001469/
Década de 1980,1989,Nominee,Charles Crichton,Un pez llamado Wanda,https://www.imdb.com/es-es/name/nm0187769/
Década de 1980,1989,Nominee,Mike Nichols,Armas de mujer,https://www.imdb.com/es-es/name/nm0001566/
Década de 1980,1989,Nominee,Alan Parker,Arde Mississippi,https://www.imdb.com/es-es/name/nm0000570/
Década de 1980,1989,Nominee,Martin Scorsese,La última tentación de Cristo,https://www.imdb.com/es-es/name/nm0000217/
Década de 1980,1988,Ganador,Bernardo Bertolucci,El último emperador,https://www.imdb.com/es-es/name/nm0000934/
Década de 1980,1988,Nominee,John Boorman,Esperanza y gloria,https://www.imdb.com/es-es/name/nm0000958/
Década de 1980,1988,Nominee,Lasse Hallström,Mi vida como un perro,https://www.imdb.com/es-es/name/nm0002120/
Década de 1980,1988,Nominee,Norman Jewison,Hechizo de luna,https://www.imdb.com/es-es/name/nm0422484/
Década de 1980,1988,Nominee,Adrian Lyne,Atracción fatal,https://www.imdb.com/es-es/name/nm0001490/
Década de 1980,1987,Ganador,Oliver Stone,Platoon,https://www.imdb.com/es-es/name/nm0000231/
Década de 1980,1987,Nominee,Woody Allen,Hannah y sus hermanas,https://www.imdb.com/es-es/name/nm0000095/
Década de 1980,1987,Nominee,James Ivory,Una habitación con vistas,https://www.imdb.com/es-es/name/nm0412465/
Década de 1980,1987,Nominee,Roland Joffé,La misión,https://www.imdb.com/es-es/name/nm0423646/
Década de 1980,1987,Nominee,David Lynch,Terciopelo azul,https://www.imdb.com/es-es/name/nm0000186/
Década de 1980,1986,Ganador,Sydney Pollack,Memorias de África,https://www.imdb.com/es-es/name/nm0001628/
Década de 1980,1986,Nominee,Hector Babenco,El beso de la mujer araña,https://www.imdb.com/es-es/name/nm0002199/
Década de 1980,1986,Nominee,John Huston,El honor de los Prizzi,https://www.imdb.com/es-es/name/nm0001379/
Década de 1980,1986,Nominee,Akira Kurosawa,Ran,https://www.imdb.com/es-es/name/nm0000041/
Década de 1980,1986,Nominee,Peter Weir,Único testigo,https://www.imdb.com/es-es/name/nm0001837/
Década de 1980,1985,Ganador,Milos Forman,Amadeus,https://www.imdb.com/es-es/name/nm0001232/
Década de 1980,1985,Nominee,Woody Allen,Broadway Danny Rose,https://www.imdb.com/es-es/name/nm0000095/
Década de 1980,1985,Nominee,Robert Benton,En un lugar del corazón,https://www.imdb.com/es-es/name/nm0000914/
Década de 1980,1985,Nominee,Roland Joffé,Los gritos del silencio,https://www.imdb.com/es-es/name/nm0423646/
Década de 1980,1985,Nominee,David Lean,Pasaje a la India,https://www.imdb.com/es-es/name/nm0000180/
Década de 1980,1984,Ganador,James L. Brooks,La fuerza del cariño,https://www.imdb.com/es-es/name/nm0000985/
Década de 1980,1984,Nominee,Bruce Beresford,Gracias y favores,https://www.imdb.com/es-es/name/nm0000915/
Década de 1980,1984,Nominee,Ingmar Bergman,Fanny y Alexander,https://www.imdb.com/es-es/name/nm0000005/
Década de 1980,1984,Nominee,Mike Nichols,Silkwood,https://www.imdb.com/es-es/name/nm0001566/
Década de 1980,1984,Nominee,Peter Yates,La sombra del actor,https://www.imdb.com/es-es/name/nm0946811/
Década de 1980,1983,Ganador,Richard Attenborough,Gandhi,https://www.imdb.com/es-es/name/nm0000277/
Década de 1980,1983,Nominee,Sidney Lumet,Veredicto final,https://www.imdb.com/es-es/name/nm0001486/
Década de 1980,1983,Nominee,Wolfgang Petersen,El submarino (Das Boot),https://www.imdb.com/es-es/name/nm0000583/
Década de 1980,1983,Nominee,Sydney Pollack,Tootsie,https://www.imdb.com/es-es/name/nm0001628/
Década de 1980,1983,Nominee,Steven Spielberg,E.T. El extraterrestre,https://www.imdb.com/es-es/name/nm0000229/
Década de 1980,1982,Ganador,Warren Beatty,Rojos,https://www.imdb.com/es-es/name/nm0000886/
Década de 1980,1982,Nominee,Hugh Hudson,Carros de fuego,https://www.imdb.com/es-es/name/nm0399853/
Década de 1980,1982,Nominee,Louis Malle,Atlantic City,https://www.imdb.com/es-es/name/nm0001501/
Década de 1980,1982,Nominee,Mark Rydell,En el estanque dorado,https://www.imdb.com/es-es/name/nm0041932/
Década de 1980,1982,Nominee,Steven Spielberg,En busca del arca perdida,https://www.imdb.com/es-es/name/nm0000229/
