decade,year,result,director,movie,director url
Década de 1980,1982,Nominee,Sidney Lumet,El príncipe de la ciudad,https://www.imdb.com/es-es/name/nm0001486/
Década de 1980,1982,Nominee,Louis Malle,Atlantic City,https://www.imdb.com/es-es/name/nm0001501/
Década de 1980,1982,Nominee,Mark Rydell,En el estanque dorado,https://www.imdb.com/es-es/name/nm0041932/
Década de 1980,1982,Nominee,Steven Spielberg,En busca del arca perdida,https://www.imdb.com/es-es/name/nm0000229/
Década de 1980,1981,Ganador,Robert Redford,Gente corriente,https://www.imdb.com/es-es/name/nm0000602/
Década de 1980,1981,Nominee,David Lynch,El hombre elefante,https://www.imdb.com/es-es/name/nm0000186/
Década de 1980,1981,Nominee,Roman Polanski,Tess,https://www.imdb.com/es-es/name/nm0000591/
Década de 1980,1981,Nominee,Richard Rush,Profesión: El especialista,https://www.imdb.com/es-es/name/nm0750701/
Década de 1980,1981,Nominee,Martin Scorsese,Toro salvaje,https://www.imdb.com/es-es/name/nm0000217/
Década de 1980,1980,Ganador,Francis Ford Coppola,Apocalypse Now,https://www.imdb.com/es-es/name/nm0000338/
Década de 1980,1980,Nominee,Hal Ashby,Bienvenido Mr. Chance,https://www.imdb.com/es-es/name/nm0000797/
Década de 1980,1980,Nominee,Robert Benton,Kramer contra Kramer,https://www.imdb.com/es-es/name/nm0000914/
Década de 1980,1980,Nominee,James Bridges,El síndrome de China,https://www.imdb.com/es-es/name/nm0108745/
Década de 1980,1980,Nominee,Peter Yates,El relevo,https://www.imdb.com/es-es/name/nm0946811/
